orgNumber,name,website
924829214,"@RNEBLIKK AS","www.oerneblikk.com"
913779908,"+ ARK AS","www.plussark.no"
995451697,"+2 INTERIØR AS","Www.pluss2.no"
933266591,"+HALLE A/S","www.plushalle.com"
919732725,"00NATION AS","www.00nation.com"
810359862,"AUTOBJØRN A/S","www.autobjorn.no"
810324562,"SERVI GROUP AS","www.servi.no"
810876832,"FINN BRYNILDSRUD & SØNNER AS","www.brynildsrud.com"
811573272,"WAL BYGG OG EIENDOM AS","walbe.no"
810412402,"STOREBRAND TILLERTORGET AS","www.storebrand.no/eiendom"
810926252,"GRØNT MASKIN AS","www.grontmaskin.no"
811573582,"BY1BIL AS","www.by1bil.no"
811572802,"SAMEIET THORLEIF HAUGS VEI","www.enqvist.no"
810985852,"BÅTSERVICE SIGHTSEEING AS","www.boatsightseeing.com"
811060402,"CHR BRYNILDSEN & CO AS","www.serigrafi.com"
811577022,"ZIRQ CABLES AS","www.zirqsolutions.com"
811581232,"GØRAN HANSEN AS","goeran.no"
811563382,"AKA TELECOM AS","www.akatelecom.no"
811585092,"THETA DEVELOPMENT AS","www.hadocs.com"
811593672,"FLYT FORLAG AS","www.flyt.no"
811564222,"TORGHALLEN BODØ AS","www.tkeiendom.no"
810547472,"BRØDR BERNTSEN AS","www.bberntsen.no"
811600792,"ELTERA AS","www.eltera.no"
811605212,"AA-TVERRELVA KRAFT AS","www.fortevannkraft.no"
811546852,"SAFEBASE AS","www.safebase.no"
811620122,"UTEPLASSEN.NO AS","www.uteplassen.no"
810684402,"BLOKKEN SKIPSVERFT EIENDOM AS","www.blokken.no"
811616362,"VEST MARKISE AS","www.vestmarkise.no"
811413682,"ELOPAK ASA","www.elopak.com"
811549312,"STORE SKO AS","www.storesko.no"
811167452,"AS DEN NATIONALE SCENE","www.dns.no"
811630322,"MOBILITY DOCK AS","www.bluelogic.no"
811630292,"TOCIRCLE PRODUCTIONS AS","www.tocircle.com"
811669202,"ROMSDAL EIENDOMSMEGLING AS","www.notar.no"
811685852,"HUMLEREKKA EIERSEKSJONSSAMEIE","www.humlerekka.no"
811699632,"2 CLAP STUDIO DA","www.2clapstudio.com"
811713112,"POWER SOLUTIONS MMO AS","www.powersolutions.no"
811715492,"JSON AS","www.itforalle.no"
811702552,"FÆRDER KONSULENTTJENESTER DØRDAL","www.nktd.no"
811730912,"MTM SKOGSERVICE AS","www.mtm-skogservice.no"
