https://www.plussark.no,2025-11-23 12:55:28,WordPress
https://www.plussark.no/project/nordbyen-32,455,"Nordbyen 32 | Plussark Om +ARK Prosjekter Kontakt Velg en side Om +ARK Prosjekter Kontakt Nordbyen 32 Nordbyen 32 Tønsberg Rehabilitering og tilbygg i bevaringsverdig område Planlagt og gjennomført 2015-2018. Nordbyen 32 er antatt bygget midt på 1700-tallet. Det er således et av Tønsbergs eldste hus. Hovedhuset har kjerne i tømmer og er i 11/2 etasje + krypkjeller. Opprinnelig huset det to familier og hadde da en leilighet i hver etasje. Trappeadkomsten var da antagelig mellom Nordbyen 32 og 34. I dag er Nordbyen 32 og 34 sammenbygget. Hovedhuset har vært om- og påbygget flere ganger opp gjennom historien. Ombygging til dagens fasadeutrykk og interiør er trolig gjort på slutten av 1800-tallet eller begynnelsen av 1900-tallet. Igjenbygging av «smetten» mot Nordbyen 34 er trolig gjort på 1960-tallet. De nye eierne ønsket å bo permanent i boligen og så det som helt nødvendig å totalrehabilitere det eksisterende huset, men ønsket å bevare mest mulig av det opprinnelige hovedhuset og dets stiluttrykk, spesielt mot gatemiljøet. Det ble påvist både fukt-/råteskader og setningsskader. Det ble i tillegg tatt ekstra hensyn til brannsikring grunnet bydelens vernestatus. Tiltaket i stikkord: Trappehuset mot vest ble revet. Totalrehabilitering av eksisterende hovedhus, hvor fasadeuttrykket ble opprettholdt mot gaten og gavlen mot sør. Nytt tilbygg i èn etasje og i historiserende stil mot vest. Ny takark på hovedhuset i en mer tidsriktig stil og i forhold til hovedhusets arkitektoniske uttrykk. En naturlig heving av terrenget mellom sjøhuset og tilbygget, som en bedre sikring mot stormflo. Tiltakene samlet ble gitt en godt tilpasset og historiserende arkitektur. Det ble planlagt en ny og mer funksjonell planløsning i 1. etasje med inngangsparti m/separat wc og oppholdsrom m/kjøkken i det nye tilbygget. Fra det nye oppholdsrommet er det direkte adkomst til terrasse og hage mot vest og Byfjorden. I hovedhuset ble det innvendig revet til bart tømmer og rene konstruksjoner. Den opprinnelige hovedstrukturen ble imidlertid beholdt og enkelte av tømmerveggene er sågar eksponert i interiøret. I 1. etasje ble det innredet stue m/peisovn, gjeste-/arbeidsrom, bad/vaskerom og trapp til 2. etasje. I 2. etasje ble det innredet tre soverom og et bad. Hovedhuset ble isolert innvendig, mens tilbygget følger energikravene i TEK 10. I tillegg ble det installert et ventilasjonsanlegg m/varmegjenvinning. Hovedhusets ytterkledning inkludert vindus-/døromramming mot gaten og gavlen mot sør ble beholdt og malt, men det ble satt inn nye vinduer med lik utforming. Tilbygget og takarken ble kledt med lik paneltype som på hovedhuset, med historiserende vinduer som i hovedhuset, inkludert utvendig omramming. Det ble ny taktekking av rød enkeltkrum takstein mot vest og på tilbygget. Ny pipe med teglforblending over tak. Alle beslag, renner og nedløp er av aluminium. I interiørene ble det valgte en moderne, ren og nordisk stil, hvor noen av tømmerveggene er eksponert for å formidle historien til huset. Telefon +47 928 60 390 Epost vidar@plussark.no Villa Møllebakken, St Olavs gate 6, 3126 Tønsberg Postboks 1307, 3105 Tønsberg Designet av Elegant Themes | Drevet med WordPress"
https://www.plussark.no/project/dronning-blancas-gate-15,347,"Dronning Blancas gate 15 | Plussark Om +ARK Prosjekter Kontakt Velg en side Om +ARK Prosjekter Kontakt Dronning Blancas gate 15 Dronning Blancas gate 15 Tønsberg Rehabilitering og tilbygg i bevaringsverdig område Planlagt og gjennomført 2014-2016. Det beskjedne men bevaringsverdige huset fra ca 1880 var svært preget av tiden og trengte en betydelig rehabilitering. I bakgården var det opprinnelige uthuset falt ned… Huset: Huset ble strippet ned til bart tømmer, både utvendig og innvendig. Det ble planlagt en ny og mer funksjonell planløsning i 1. etasje med inngang, bad og oppholdsrom m/kjøkken. Den opprinnelige hovedstrukturen ble imidlertid beholdt og enkelte av tømmerveggene er sågar eksponert i interiøret. Eksisterende loft var uinnredet, men ble innredet med to soverom. For å gi en god og fin adkomst til loftet ble det etablert et overlysvindu mot vest og panoramautsikt mot Slottsfjellet. Dette ga i tillegg et fint dagslys i 1. etasje. Huset ble isolert med 250 mm isolasjon i tak (ny takkonstruksjon ble bygd opp utenpå eksisterende taktro), 100 mm isolasjon i yttervegg (ny yttervegg bygd utenpå eksisterende tømmervegger) og 200 mm isolasjon i eksisterende etasjeskillere. Huset fikk ny kledning lik eksisterende perlepanel. Alle vinduer ble skiftet tilnærmet lik de opprinnelige, inkludert utvendig omramming. Det ble ny taktekking av rød enkeltkrum takstein og ny pipe med teglforblending over tak. Alle beslag, renner og nedløp er av sink. I interiørene ble det valgte en moderne, ren og nordisk stil, hvor noen av tømmerveggene er eksponert for å formidle historien til huset. Den spennende kjelleren med steinblokker fra ruinene på Slottsfjellet ble også satt pent i stand. Tilbygget: Det ble etablert et nytt tilbygg i bakgården, der hvor det opprinnelige uthuset hadde stått. Tilbyggets geometri og takform er gitt for å få til en god arkitektonisk utforming og sammenkobling mellom hovedhuset og tilbygget. Tilbygget er gitt et uttrykk som minner om et uthus, tar med noen historiske elementer, men som også er gitt et moderne tilsnitt. Tilbygget er innredet med et oppholdsrom og et soverom, med en steinsatt terrasse og hage utenfor. Tilbygget er kledt med lektepanel og malt i en rødfarge, som ofte var vanlig på bakgårdsbebyggelse. Telefon +47 928 60 390 Epost vidar@plussark.no Villa Møllebakken, St Olavs gate 6, 3126 Tønsberg Postboks 1307, 3105 Tønsberg Designet av Elegant Themes | Drevet med WordPress"
https://www.plussark.no/project/karlsvikveien-24,287,"Karlsvikveien 24 | Plussark Om +ARK Prosjekter Kontakt Velg en side Om +ARK Prosjekter Kontakt Karlsvikveien 24 Karlsvikveien 24 Tønsberg Ny enebolig m/hybelleilighet. Planlagt og gjennomført 2015-2017. Det unge paret hadde kjøpt en ganske liten men desto mer fantastisk solrik utsiktstomt i Karlsvika. De ønsket seg en moderne enebolig for en kommende familie og en utleieenhet for å delfinansiere husdrømmen. For å utnytte de flotte sol- og utsiktskvalitetene maksimalt, ble den nye boligen plassert opp i skråningen og godt tilbaketrukket på tomten. Dette bidro til at virkningen fra sjøsiden ble svært beskjeden og at tomtens søndre og østre del ble mindre berørt av tiltaket. Mot vest ble garasje og terrasser liggende godt tilbaketrukket og inn i terrenget. Tiltaket i stikkord: Hovedvolumet lagt nord-sør og inn i terrenget Sokkeletasje, hovedetasje + loft/hems 40° takvinkel på saltak Terrasser, garasje og boder lagt mot vest og inn i terrenget Sokkeletasjen består av et romslig inngangsparti, stort soverom som på sikt kan deles i to, vaskerom/bad, boder/teknisk, trimrom og en hybelleilighet med egen inngang og utgang til terrasse. Fra den doble garasjen er det direkte adkomst til sokkeletasjen. Fra inngangspartiet er det trappeadkomst opp til hovedetasjen med stue, spiseplass og kjøkken i ett rom. Fra oppholdsarealene er det direkte adkomst til frokostterrasse mot sørøst og kveldsterrasse mot sørvest. I hovedetasjen er det i tillegg et stort soverom m/walk-in, et mindre soverom og et bad. På hemsen er det en tv-stue med direkte adkomst til en vestvendt takterrasse. Den nye eneboligen er gitt en moderne men godt tilpasset arkitektur. Boligen har pusset mur i sokkeletasjen og liggende trekledning forøvrig. Salttaket er tekket med papp. Rekkverk i glass og liggende trespiler. Beslag av aluminium. Telefon +47 928 60 390 Epost vidar@plussark.no Villa Møllebakken, St Olavs gate 6, 3126 Tønsberg Postboks 1307, 3105 Tønsberg Designet av Elegant Themes | Drevet med WordPress"
https://www.plussark.no/project/hellesmoveien-48,265,"Hellesmoveien 48 | Plussark Om +ARK Prosjekter Kontakt Velg en side Om +ARK Prosjekter Kontakt Hellesmoveien 48 Hellesmoveien 48 Tjøme Ombygging og påbygg. Planlagt og gjennomført 2016-2018. Den enkle hytta var fra 1960-tallet og hadde en grunnflate på ca 50 m2. Tiltakshaverne ønsket å bygge på for å utnytte de flotte utsiktskvalitetene maksimalt. I tillegg var det behov for å gjøre en ombygging i 1. etasje for å få en mer tidsmessig og funksjonell plan-/romløsning. Terrengsituasjonen på tomten er svært spesiell og satte klare begrensninger for en utvidelse. Vi endte derfor opp med at den beste løsningen var et påbygg på tvers av det eksisterende. Påbygget inneholder stue mot vest og to soverom mot øst. Mot nordvest ble det etablert en liten takterrasse på det resterende takarealet. Under påbygget mot øst ble det plass for et kaldt lager for hagemøbler, kajakk, fiskeutstyr ol. Eksisterende vindfang ble beholdt og omdefinert til bod. Det eksisterende taket ble trukket videre over ny inngang og 1. etasje ble bygget om med ny entré, kjøkken med spiseplass, soverom og bad/wc. I tillegg ble det også gjort noen fasadeendringer på det eksisterende. Det var viktig å finne en utforming som ville harmonere med terrenget og det dominerende stiluttrykket i området. Av hensyn til omkringliggende naboer var det i tillegg viktig å finne en løsning som innebar at påbygget ikke ble høyere enn nødvendig. Påbygget fikk derfor et asymmetrisk saltak. Et asymmetrisk saltak ga i tillegg en lav gesims-/mønehøyde og sympatisk utforming mot sør. Påbygget ble kledt med stående hvitmalt dobbeltfalspanel som en liten kontrast til den liggende kledningen på det eksisterende. Taket er tekket med hvit takfolie. Ny taktekking tilnærmet lik eksisterende papp-/shingeltekking. Telefon +47 928 60 390 Epost vidar@plussark.no Villa Møllebakken, St Olavs gate 6, 3126 Tønsberg Postboks 1307, 3105 Tønsberg Designet av Elegant Themes | Drevet med WordPress"
https://www.plussark.no/om-ark,244,"Om +ARK | Plussark Om +ARK Prosjekter Kontakt Velg en side Om +ARK Prosjekter Kontakt OM +ARK – Robust og bærekraftig arkitektur i dag og i morgen Arkitektkontoret +ARK tar alt av oppdrag innenfor arkitekturprosjektering for private og offentlige oppdragsgivere. +ARK utfører mulighetsstudier i forbindelse med eiendoms- og byutvikling. +ARK tar også oppdrag innen planlegging og regulering. +ARK kan følge et prosjekt profesjonelt fra utvikling, godkjenninger, byggeoppfølging til ferdigstillelse. I tillegg har +ARK spisskompetanse innen restaurering, rehabilitering, miljø, energi og universell utforming. +ARK er en komplett rådgiver for både private og offentlige oppdragsgivere. Tjenester: Arkitekturprosjektering, alle typer bygg, nybygg, ombygg, utvidelser, eksteriør, interiør Mulighetsstudier, utbygging, eiendomsutvikling og byutvikling Planlegging og regulering Byggesøknader Byggeoppfølging Restaurerings-/rehabiliteringsrådgiver Miljø- og energirådgivning Rådgivning for tilrettelegging og universell utforming Godkjenningsområder: Søker (for alle typer tiltak) i tiltaksklasse 3 Prosjektering av Arkitektur i tiltaksklasse 3 Prosjektering av Utearealer og landskapsutforming i tiltaksklasse 2 Prosjektering av Bygningsfysikk i tiltaksklasse 2 Selskapet +ARK AS ble etablert i 2014 av Sivilarkitekt MNAL Vidar H. Kalmyren Bakke. Selv om virksomheten er ny, har jeg lang og bred yrkeserfaring innen byggefaget. Jeg har en allsidig praktisk og teoretisk utdanning. 2-årig yrkesskole, svennebrev og mesterbrev i tømrerfaget, 3-årig bygningsfaglig teknisk fagskole og 5-årig arkitektutdanning ved NTH (NTNU). Jeg har over 20 års erfaring som prosjektansvarlig arkitekt for ulike skolebygg, idrettsanlegg, administrasjonsbygg, kulturbygg og boligprosjekter. I tillegg har jeg tegnet eneboliger og hytter. Sjekk ut noen av prosjektene som er utført, ledet og gjennomført av meg Telefon +47 928 60 390 Epost vidar@plussark.no Villa Møllebakken, St Olavs gate 6, 3126 Tønsberg Postboks 1307, 3105 Tønsberg Designet av Elegant Themes | Drevet med WordPress"
https://www.plussark.no/project/re-kommunehus,242,"Re Kommunehus | Plussark Om +ARK Prosjekter Kontakt Velg en side Om +ARK Prosjekter Kontakt Re Kommunehus Referanseprosjekt Re kommunehus Revetal Nytt kommunehus og forretningssenter, 4500 m2 Planlagt og gjennomført 2003-2005 Oppdragsansvarlig arkitekt for AS Kristiansen & Bernhardt. Den arkitektoniske målsettingen for det nye kommunehuset for Re kommune i Vestfold, var at det skulle være et bygg som alle kommunens innbyggere har et bevisst forhold til. For å understreke kommunehusets betydning, var det en klar intensjon å tilføre bygget kvaliteter og uttrykk som bla bidrar til å framheve bygget som et viktig symbolbygg i landskapet. To viktige elementer er «tårnet» og «langskipet». «Tårnet» er kommunehusets framskutte symbolelement, men begge elementene har arkitektonisk uttrykk og materialbruk som bla gjenspeiler tettstedets hurtige framvekst (tiltagende urbanitet) og noen av kommunens viktigste ressurser (jord-og skogbruk). I forhold til kommunens utadrettede virksomhet var det viktig å skape gode kvaliteter og sammenhenger mellom uterom og publikumsområder inne i kommunehuset. Ytterveggene i 1. etasje er hovedsakelig bygget opp som glassvegger i kombinasjon med felter av tegl. «Langskipet» i 2. og 3. etasje har stående låvekledning av jernvitriolbehandlet osp som hovedmateriale. Forpatinert sink er benyttet som beslagsmateriale. Ytterveggene i «tårnet» består av glass og kledning av forpatinert sink. For å gi ytterveggen artikulering og nødvendig skjerming mot innsyn og sol, samtidig som utsynet opprettholdes, er fasadene påmontert et luftig slikt av eikespiler. Felles for all fasadetenkning har vært materialenes egenskaper til å «vedlikeholde seg selv». Telefon +47 928 60 390 Epost vidar@plussark.no Villa Møllebakken, St Olavs gate 6, 3126 Tønsberg Postboks 1307, 3105 Tønsberg Designet av Elegant Themes | Drevet med WordPress"
https://www.plussark.no/project/hytte-sjolovehytta,239,"Hytte Sjøløvehytta | Plussark Om +ARK Prosjekter Kontakt Velg en side Om +ARK Prosjekter Kontakt Hytte Sjøløvehytta Hytte Sjøløvehytta Lønnungen, Bamble Ombygging, tilbygg og nytt anneks. Planlagt og gjennomført 2015-2017. Eksisterende hytte med uthus var bygget i 1978 etter datidens standard. Planene til de nye eierne var å rive uthuset og forlenge hytta med et nytt tilbygg mot øst. I tillegg var planen å bygge et frittstående anneks mot nord. Under prosessen viste det seg imidlertid at eksisterende hytte var dårligere enn antatt. Den ble derfor revet og bygget opp på nytt. Tilbygget er adskilt fra hovedhytta med en åpen svalgang for å gi annekset sjøutsikt. Tilbygget og hovedhytta er imidlertid forbundet med et felles saltak. Terrasser og trapper binder hovedhytta og annekset sammen på bakkeplan og knytter anlegget til terrenget. Hovedhytta inneholder oppholdsrom, spiseplass og kjøkken i et åpent rom. Rommet underdeles av pipe m/peis, sentralt plassert mellom oppholdsrom og spiseplass/kjøkken. Fra oppholdsrommet er det direkte adkomst til et overdekket terrasseområde mot sør. Fra spiseplassen er det direkte adkomst til et lunt terrasseområde mot nord. Tilbygget inneholder to soverom og bad. Fra det ene soverommet er det adkomst til en hems med soveplasser. Annekset inneholder et oppholdsrom, bod og sovehems. Alle rommene har fått utsikt til sjøen. Tiltaket samlet er gitt en moderne, godt tilpasset, robust og helhetlig arkitektur/materialbruk. Det har vært viktig å finne en god arkitektonisk utforming i forhold til omgivelsene og topografien. Telefon +47 928 60 390 Epost vidar@plussark.no Villa Møllebakken, St Olavs gate 6, 3126 Tønsberg Postboks 1307, 3105 Tønsberg Designet av Elegant Themes | Drevet med WordPress"
https://www.plussark.no/project/hytte-harjedalen,213,"Hytte Skärjedalen | Plussark Om +ARK Prosjekter Kontakt Velg en side Om +ARK Prosjekter Kontakt Hytte Skärjedalen Hytte Skärjedalen Strömstad, Sverige Ny hytte. Planlagt og gjennomført 2010-2013. Familien bestemte seg etter hvert for å rive den gamle hytta og bygge en ny på grunnmuren av den gamle. Også terrassen var i såpass god stand at den måtte planlegges inn i de nye planene. I tillegg hadde byggherren en stor terrassedør og et parti med vinduer liggende, som det var ønskelig å få gjenbrukt i den nye hytta. Dermed var en betydelig del av de ytre premissene lagt… Ønskene var videre en moderne og lettvint fritidsbolig med mye dagslys og god plass for familie og venner. For å forsterke utsiktskvalitetene og forlenge kveldssolen, var det et ønske å få etablert en takterrasse. Med grunnlag i grunnmurens form, ble konseptet en grunnstruktur som gir siktlinjer, kommunikasjon og åpenhet i fire retninger. Dette ga en svært effektiv og god planløsning. Volumoppbyggingen og det arkitektonisk uttrykket ble en gjenspeiling av hyttas funksjon, grunnstruktur og planløsning -i tillegg til å være et svar på tomtens topografi, utsiktskvaliteter og solforhold. Da den gamle hytta ble revet viste seg imidlertid at tilstanden til grunnmuren var dårligere enn først antatt… Arkitekten takker allikevel for de ytre premissene, uten dem hadde ikke dette blitt så bra! Telefon +47 928 60 390 Epost vidar@plussark.no Villa Møllebakken, St Olavs gate 6, 3126 Tønsberg Postboks 1307, 3105 Tønsberg Designet av Elegant Themes | Drevet med WordPress"
https://www.plussark.no/project/bolig-s4,202,"BOLIG S4 | Plussark Om +ARK Prosjekter Kontakt Velg en side Om +ARK Prosjekter Kontakt BOLIG S4 BOLIG S4 Tønsberg Ny enebolig. Planlagt og gjennomført 2005-2007. Da ekteparet ble pensjonister ønsket de seg mindre og enklere hus og hage –men med den samme beliggenheten og utsikten! Det er da det er smart å ha en litt stor tomt som kan deles fra. Så kan det planlegges og bygges mens du fortsatt bor i dine trygge omgivelser og kjære hjem. Når det nye er ferdig er det bare å ta flyttelasset under armen og spasere over plenen og inn i det nye huset. Når det gamle er flyttet fra er også det nye huset finansiert. En godt tilrettelagt pensjonistbolig kan man ha glede av lenge. Her er adkomsten enkel og lett lesbar, med slake stigninger og med få trappetrinn. Inngangspartiet med garderobe og separat toalett er romslig og oversiktlig. Bad/wc/vaskerom og soverom er spesielt tilrettelagt for eventuell bruk av rullator eller rullestol. Kjøkken, spiseplass og stue har en åpen og sammenhengende løsning med god og lettvint adkomst til uteplassen. Arkitekturen er moderne men allikevel tilpasset omgivelsene i formspråk, material- og fargebruk. Telefon +47 928 60 390 Epost vidar@plussark.no Villa Møllebakken, St Olavs gate 6, 3126 Tønsberg Postboks 1307, 3105 Tønsberg Designet av Elegant Themes | Drevet med WordPress"
https://www.plussark.no/project/bolig-s10,179,"BOLIG S10 | Plussark Om +ARK Prosjekter Kontakt Velg en side Om +ARK Prosjekter Kontakt BOLIG S10 Bolig S10 Tønsberg Tilbygg enebolig. Planlagt og gjennomført 2007-2008. Da 2-mannsboligen fra 1939 ble gjort om til en enebolig, ble det behov for et nytt og større inngangsparti. Ved å bygge på i begge etasjer fikk boligen et ekstra soverom nesten «gratis». Samtidig ga dette tilbygget bedre proporsjoner og et tydelig arkitektonisk element til det noe nøytrale «funkishuset». Uttrykket på det nye inngangspartiet gjenspeiler vår tid, men med en klar referanse til et funksjonalistisk formspråk. Ytterveggen er ledig og leken i utformingen. I mellomrommet mellom ny og eksisterende yttervegg er det satt inn store felter av glass for å slippe dagslyset inn. Materialbruken med ubehandlet betong, jernvitriolbehandlet stående sibirsk lerk og beslag, renner og nedløp av sink er med på å understreke en kontrast til den opprinnelige «funkisboligen». Selve inngangspartiet er markert med en varm farge for å ønske velkommen. Materialene er solide, bestandige og er i stand til «å vedlikeholde seg selv». Telefon +47 928 60 390 Epost vidar@plussark.no Villa Møllebakken, St Olavs gate 6, 3126 Tønsberg Postboks 1307, 3105 Tønsberg Designet av Elegant Themes | Drevet med WordPress"
